sender,recipient,timestamp,department
user_promoted@enron.com,peer3@enron.com,2001-04-15T12:00:00Z,DMCT
peer6@enron.com,user_bottleneck@enron.com,2001-01-15T00:51:00Z,DCAR
peer3@enron.com,user_bottleneck@enron.com,2001-01-15T00:56:00Z,DCAR
user_resigned@enron.com,peer1@enron.com,2001-03-16T07:45:00Z,DMI
user_fired@enron.com,peer8@enron.com,2001-05-16T12:00:00Z,DSE
user_bottleneck@enron.com,peer1@enron.com,2001-02-14T02:00:00Z,DST
user_resigned@enron.com,peer1@enron.com,2001-06-14T02:45:00Z,DMI
user_resigned@enron.com,peer3@enron.com,2001-01-15T05:45:00Z,DMI
user_bottleneck@enron.com,peer5@enron.com,2001-02-14T06:00:00Z,DST
user_promoted@enron.com,peer8@enron.com,2001-02-14T17:00:00Z,DISQ
user_resigned@enron.com,peer1@enron.com,2001-05-15T05:15:00Z,DMI
user_resigned@enron.com,peer1@enron.com,2001-02-14T02:45:00Z,DMI
user_resigned@enron.com,peer4@enron.com,2001-01-15T01:00:00Z,DMI
user_resigned@enron.com,peer1@enron.com,2001-06-14T07:45:00Z,DMI
user_resigned@enron.com,peer2@enron.com,2001-06-14T10:30:00Z,DMI
peer1@enron.com,user_bottleneck@enron.com,2001-05-15T00:35:00Z,DCAR
peer9@enron.com,user_bottleneck@enron.com,2001-01-15T00:56:00Z,DCAR
peer4@enron.com,user_bottleneck@enron.com,2001-04-15T00:04:00Z,DCAR
user_bottleneck@enron.com,peer1@enron.com,2001-03-16T02:00:00Z,DST
peer8@enron.com,user_bottleneck@enron.com,2001-03-16T00:02:00Z,DCAR
user_resigned@enron.com,peer3@enron.com,2001-03-16T13:15:00Z,DMI
user_resigned@enron.com,peer9@enron.com,2001-05-15T14:45:00Z,DMI
user_promoted@enron.com,peer1@enron.com,2001-05-15T00:00:00Z,DMCT
user_fired@enron.com,peer1@enron.com,2001-04-16T15:00:00Z,DSE
user_fired@enron.com,peer5@enron.com,2001-01-15T23:00:00Z,DSE
user_bottleneck@enron.com,peer0@enron.com,2001-01-15T01:00:00Z,DST
peer5@enron.com,user_bottleneck@enron.com,2001-06-14T00:44:00Z,DCAR
user_stable@enron.com,peer2@enron.com,2001-02-14T02:00:00Z,DCAR
user_fired@enron.com,peer1@enron.com,2001-03-17T05:00:00Z,DSE
user_fired@enron.com,peer2@enron.com,2001-04-16T06:00:00Z,DSE
user_promoted@enron.com,peer1@enron.com,2001-06-14T10:00:00Z,DMCT
peer6@enron.com,user_bottleneck@enron.com,2001-03-16T00:46:00Z,DCAR
user_resigned@enron.com,peer6@enron.com,2001-03-16T04:00:00Z,DMI
user_resigned@enron.com,peer5@enron.com,2001-03-16T01:15:00Z,DMI
user_fired@enron.com,peer3@enron.com,2001-05-16T07:00:00Z,DSE
user_resigned@enron.com,peer6@enron.com,2001-04-15T19:00:00Z,DMI
user_fired@enron.com,peer8@enron.com,2001-04-16T22:00:00Z,DSE
peer4@enron.com,user_bottleneck@enron.com,2001-03-16T00:56:00Z,DCAR
user_fired@enron.com,peer8@enron.com,2001-02-15T12:00:00Z,DSE
user_resigned@enron.com,peer6@enron.com,2001-06-14T09:00:00Z,DMI
peer5@enron.com,user_bottleneck@enron.com,2001-06-14T00:48:00Z,DCAR
user_resigned@enron.com,peer6@enron.com,2001-03-16T19:00:00Z,DMI
user_isolated@enron.com,peer1@enron.com,2001-03-16T02:00:00Z,SCOM
user_resigned@enron.com,peer5@enron.com,2001-01-15T06:15:00Z,DMI
user_resigned@enron.com,peer4@enron.com,2001-03-16T08:30:00Z,DMI
user_promoted@enron.com,peer1@enron.com,2001-05-15T10:00:00Z,DMCT
user_resigned@enron.com,peer0@enron.com,2001-02-14T12:30:00Z,DMI
user_promoted@enron.com,peer9@enron.com,2001-03-16T18:00:00Z,DISQ
user_fired@enron.com,peer6@enron.com,2001-01-16T20:00:00Z,DSE
user_resigned@enron.com,peer0@enron.com,2001-04-15T00:00:00Z,DMI
peer8@enron.com,user_bottleneck@enron.com,2001-04-15T00:24:00Z,DCAR
user_resigned@enron.com,peer8@enron.com,2001-01-15T04:30:00Z,DMI
user_fired@enron.com,peer2@enron.com,2001-02-15T16:00:00Z,DSE
peer1@enron.com,user_bottleneck@enron.com,2001-04-15T00:08:00Z,DCAR
peer9@enron.com,user_bottleneck@enron.com,2001-05-15T00:29:00Z,DCAR
user_promoted@enron.com,peer4@enron.com,2001-01-15T03:00:00Z,DISQ
peer3@enron.com,user_bottleneck@enron.com,2001-02-14T00:04:00Z,DCAR
peer4@enron.com,user_bottleneck@enron.com,2001-01-15T00:39:00Z,DCAR
user_resigned@enron.com,peer5@enron.com,2001-01-15T18:45:00Z,DMI
user_fired@enron.com,peer2@enron.com,2001-03-16T00:00:00Z,DSE
user_resigned@enron.com,peer3@enron.com,2001-01-15T00:45:00Z,DMI
user_resigned@enron.com,peer5@enron.com,2001-03-16T08:45:00Z,DMI
peer4@enron.com,user_bottleneck@enron.com,2001-06-14T00:24:00Z,DCAR
user_promoted@enron.com,peer2@enron.com,2001-04-15T01:00:00Z,DMCT
user_resigned@enron.com,peer2@enron.com,2001-04-15T03:00:00Z,DMI
user_bottleneck@enron.com,peer7@enron.com,2001-01-15T08:00:00Z,DST
peer5@enron.com,user_bottleneck@enron.com,2001-05-15T00:30:00Z,DCAR
peer5@enron.com,user_bottleneck@enron.com,2001-05-15T00:20:00Z,DCAR
peer1@enron.com,user_bottleneck@enron.com,2001-05-15T00:12:00Z,DCAR
user_resigned@enron.com,peer7@enron.com,2001-04-15T11:45:00Z,DMI
user_promoted@enron.com,peer5@enron.com,2001-04-15T04:00:00Z,DMCT
user_promoted@enron.com,peer5@enron.com,2001-02-14T14:00:00Z,DISQ
user_resigned@enron.com,peer4@enron.com,2001-02-14T01:00:00Z,DMI
user_promoted@enron.com,peer6@enron.com,2001-04-15T05:00:00Z,DMCT
user_resigned@enron.com,peer7@enron.com,2001-06-14T09:15:00Z,DMI
user_resigned@enron.com,peer1@enron.com,2001-01-15T10:15:00Z,DMI
peer1@enron.com,user_bottleneck@enron.com,2001-01-15T00:36:00Z,DCAR
peer1@enron.com,user_bottleneck@enron.com,2001-02-14T00:35:00Z,DCAR
user_resigned@enron.com,peer7@enron.com,2001-02-14T11:45:00Z,DMI
peer4@enron.com,user_bottleneck@enron.com,2001-02-14T00:55:00Z,DCAR
user_bottleneck@enron.com,peer2@enron.com,2001-05-15T03:00:00Z,DST
user_promoted@enron.com,peer5@enron.com,2001-06-14T14:00:00Z,DMCT
peer0@enron.com,user_bottleneck@enron.com,2001-06-14T00:54:00Z,DCAR
peer2@enron.com,user_bottleneck@enron.com,2001-06-14T00:41:00Z,DCAR
peer9@enron.com,user_bottleneck@enron.com,2001-03-16T00:42:00Z,DCAR
user_fired@enron.com,peer1@enron.com,2001-02-14T19:00:00Z,DSE
peer0@enron.com,user_bottleneck@enron.com,2001-01-15T00:25:00Z,DCAR
user_resigned@enron.com,peer9@enron.com,2001-03-16T02:15:00Z,DMI
user_bottleneck@enron.com,peer8@enron.com,2001-04-15T09:00:00Z,DST
user_resigned@enron.com,peer9@enron.com,2001-03-16T07:15:00Z,DMI
user_resigned@enron.com,peer8@enron.com,2001-06-14T04:30:00Z,DMI
user_stable@enron.com,peer8@enron.com,2001-03-16T18:00:00Z,DCAR
peer2@enron.com,user_bottleneck@enron.com,2001-06-14T00:05:00Z,DCAR
user_promoted@enron.com,peer5@enron.com,2001-05-15T14:00:00Z,DMCT
user_resigned@enron.com,peer9@enron.com,2001-05-15T04:45:00Z,DMI
user_stable@enron.com,peer8@enron.com,2001-02-14T18:00:00Z,DCAR
user_resigned@enron.com,peer4@enron.com,2001-02-14T06:00:00Z,DMI
user_resigned@enron.com,peer9@enron.com,2001-02-14T17:15:00Z,DMI
peer0@enron.com,user_bottleneck@enron.com,2001-06-14T00:19:00Z,DCAR
user_resigned@enron.com,peer9@enron.com,2001-03-16T17:15:00Z,DMI
user_resigned@enron.com,peer7@enron.com,2001-03-16T19:15:00Z,DMI
user_bottleneck@enron.com,peer8@enron.com,2001-03-16T09:00:00Z,DST
user_resigned@enron.com,peer6@enron.com,2001-01-15T04:00:00Z,DMI
user_fired@enron.com,peer5@enron.com,2001-04-15T13:00:00Z,DSE
user_resigned@enron.com,peer0@enron.com,2001-03-16T10:00:00Z,DMI
user_fired@enron.com,peer9@enron.com,2001-04-16T03:00:00Z,DSE
user_resigned@enron.com,peer8@enron.com,2001-05-15T04:30:00Z,DMI
user_resigned@enron.com,peer2@enron.com,2001-03-16T05:30:00Z,DMI
user_fired@enron.com,peer7@enron.com,2001-01-16T11:00:00Z,DSE
user_resigned@enron.com,peer6@enron.com,2001-01-15T11:30:00Z,DMI
user_resigned@enron.com,peer3@enron.com,2001-01-15T20:45:00Z,DMI
user_promoted@enron.com,peer0@enron.com,2001-02-14T19:00:00Z,DISQ
peer9@enron.com,user_bottleneck@enron.com,2001-02-14T00:54:00Z,DCAR
user_promoted@enron.com,peer3@enron.com,2001-03-16T02:00:00Z,DISQ
user_stable@enron.com,peer7@enron.com,2001-06-14T17:00:00Z,DCAR
peer7@enron.com,user_bottleneck@enron.com,2001-06-14T00:59:00Z,DCAR
peer3@enron.com,user_bottleneck@enron.com,2001-05-15T00:08:00Z,DCAR
user_resigned@enron.com,peer6@enron.com,2001-02-14T01:30:00Z,DMI
user_resigned@enron.com,peer5@enron.com,2001-02-14T01:15:00Z,DMI
peer9@enron.com,user_bottleneck@enron.com,2001-06-14T00:48:00Z,DCAR
user_resigned@enron.com,peer8@enron.com,2001-01-15T22:00:00Z,DMI
user_resigned@enron.com,peer9@enron.com,2001-02-14T14:45:00Z,DMI
user_bottleneck@enron.com,peer4@enron.com,2001-01-15T05:00:00Z,DST
user_fired@enron.com,peer0@enron.com,2001-02-15T14:00:00Z,DSE
user_resigned@enron.com,peer0@enron.com,2001-03-16T12:30:00Z,DMI
peer6@enron.com,user_bottleneck@enron.com,2001-01-15T00:17:00Z,DCAR
user_stable@enron.com,peer1@enron.com,2001-05-15T11:00:00Z,DCAR
user_fired@enron.com,peer6@enron.com,2001-01-16T10:00:00Z,DSE
user_resigned@enron.com,peer5@enron.com,2001-06-14T06:15:00Z,DMI
user_resigned@enron.com,peer1@enron.com,2001-02-14T15:15:00Z,DMI
user_resigned@enron.com,peer9@enron.com,2001-04-15T19:45:00Z,DMI
user_fired@enron.com,peer2@enron.com,2001-05-15T10:00:00Z,DSE
user_resigned@enron.com,peer4@enron.com,2001-04-15T06:00:00Z,DMI
user_fired@enron.com,peer0@enron.com,2001-03-17T04:00:00Z,DSE
user_resigned@enron.com,peer5@enron.com,2001-04-15T03:45:00Z,DMI
user_promoted@enron.com,peer0@enron.com,2001-01-15T09:00:00Z,DISQ
user_resigned@enron.com,peer4@enron.com,2001-02-14T13:30:00Z,DMI
peer6@enron.com,user_bottleneck@enron.com,2001-05-15T00:17:00Z,DCAR
peer7@enron.com,user_bottleneck@enron.com,2001-02-14T00:19:00Z,DCAR
user_resigned@enron.com,peer6@enron.com,2001-05-15T11:30:00Z,DMI
user_promoted@enron.com,peer2@enron.com,2001-01-15T11:00:00Z,DISQ
user_resigned@enron.com,peer0@enron.com,2001-02-14T15:00:00Z,DMI
user_resigned@enron.com,peer8@enron.com,2001-04-15T17:00:00Z,DMI
user_resigned@enron.com,peer7@enron.com,2001-02-14T04:15:00Z,DMI
user_resigned@enron.com,peer2@enron.com,2001-06-14T00:30:00Z,DMI
user_resigned@enron.com,peer0@enron.com,2001-05-15T10:00:00Z,DMI
user_stable@enron.com,peer9@enron.com,2001-02-14T09:00:00Z,DCAR
user_resigned@enron.com,peer0@enron.com,2001-01-15T07:30:00Z,DMI
peer5@enron.com,user_bottleneck@enron.com,2001-06-14T00:50:00Z,DCAR
user_promoted@enron.com,peer4@enron.com,2001-02-14T03:00:00Z,DISQ
peer5@enron.com,user_bottleneck@enron.com,2001-04-15T00:29:00Z,DCAR
user_resigned@enron.com,peer5@enron.com,2001-02-14T21:15:00Z,DMI
user_resigned@enron.com,peer0@enron.com,2001-02-14T05:00:00Z,DMI
user_resigned@enron.com,peer4@enron.com,2001-03-16T03:30:00Z,DMI
user_stable@enron.com,peer0@enron.com,2001-04-15T00:00:00Z,DCAR
peer2@enron.com,user_bottleneck@enron.com,2001-03-16T00:07:00Z,DCAR
user_stable@enron.com,peer4@enron.com,2001-06-14T04:00:00Z,DCAR
user_fired@enron.com,peer9@enron.com,2001-02-15T13:00:00Z,DSE
user_resigned@enron.com,peer4@enron.com,2001-03-16T11:00:00Z,DMI
peer8@enron.com,user_bottleneck@enron.com,2001-01-15T00:45:00Z,DCAR
user_resigned@enron.com,peer8@enron.com,2001-01-15T02:00:00Z,DMI
peer3@enron.com,user_bottleneck@enron.com,2001-06-14T00:38:00Z,DCAR
user_resigned@enron.com,peer3@enron.com,2001-01-15T18:15:00Z,DMI
user_fired@enron.com,peer7@enron.com,2001-01-15T15:00:00Z,DSE
user_resigned@enron.com,peer3@enron.com,2001-04-15T10:45:00Z,DMI
user_resigned@enron.com,peer3@enron.com,2001-04-15T00:45:00Z,DMI
user_promoted@enron.com,peer3@enron.com,2001-03-16T12:00:00Z,DISQ
user_stable@enron.com,peer2@enron.com,2001-05-15T12:00:00Z,DCAR
user_fired@enron.com,peer9@enron.com,2001-03-16T07:00:00Z,DSE
user_resigned@enron.com,peer5@enron.com,2001-03-16T11:15:00Z,DMI
peer8@enron.com,user_bottleneck@enron.com,2001-06-14T00:24:00Z,DCAR
peer1@enron.com,user_bottleneck@enron.com,2001-06-14T00:15:00Z,DCAR
peer7@enron.com,user_bottleneck@enron.com,2001-02-14T00:30:00Z,DCAR
peer1@enron.com,user_bottleneck@enron.com,2001-01-15T00:03:00Z,DCAR
peer7@enron.com,user_bottleneck@enron.com,2001-03-16T00:34:00Z,DCAR
user_resigned@enron.com,peer6@enron.com,2001-03-16T21:30:00Z,DMI
user_fired@enron.com,peer9@enron.com,2001-05-16T23:00:00Z,DSE
user_stable@enron.com,peer8@enron.com,2001-04-15T08:00:00Z,DCAR
user_resigned@enron.com,peer7@enron.com,2001-01-15T16:45:00Z,DMI
peer2@enron.com,user_bottleneck@enron.com,2001-05-15T00:34:00Z,DCAR
user_fired@enron.com,peer0@enron.com,2001-02-15T04:00:00Z,DSE
user_resigned@enron.com,peer9@enron.com,2001-05-15T07:15:00Z,DMI
user_resigned@enron.com,peer7@enron.com,2001-05-15T11:45:00Z,DMI
user_stable@enron.com,peer1@enron.com,2001-06-14T11:00:00Z,DCAR
user_resigned@enron.com,peer3@enron.com,2001-06-14T08:15:00Z,DMI
peer5@enron.com,user_bottleneck@enron.com,2001-01-15T00:46:00Z,DCAR
user_promoted@enron.com,peer6@enron.com,2001-02-14T05:00:00Z,DISQ
user_promoted@enron.com,peer8@enron.com,2001-06-14T17:00:00Z,DMCT
user_resigned@enron.com,peer2@enron.com,2001-02-14T13:00:00Z,DMI
user_resigned@enron.com,peer5@enron.com,2001-05-15T13:45:00Z,DMI
user_fired@enron.com,peer5@enron.com,2001-04-16T09:00:00Z,DSE
peer6@enron.com,user_bottleneck@enron.com,2001-05-15T00:22:00Z,DCAR
user_isolated@enron.com,peer1@enron.com,2001-02-14T02:00:00Z,SCOM
user_bottleneck@enron.com,peer3@enron.com,2001-01-15T04:00:00Z,DST
user_fired@enron.com,peer1@enron.com,2001-05-15T19:00:00Z,DSE
peer5@enron.com,user_bottleneck@enron.com,2001-02-14T00:31:00Z,DCAR
user_fired@enron.com,peer0@enron.com,2001-01-16T04:00:00Z,DSE
user_stable@enron.com,peer8@enron.com,2001-05-15T18:00:00Z,DCAR
peer4@enron.com,user_bottleneck@enron.com,2001-03-16T00:13:00Z,DCAR
user_resigned@enron.com,peer2@enron.com,2001-06-14T08:00:00Z,DMI
user_resigned@enron.com,peer2@enron.com,2001-02-14T20:30:00Z,DMI
peer3@enron.com,user_bottleneck@enron.com,2001-03-16T00:29:00Z,DCAR
user_resigned@enron.com,peer4@enron.com,2001-01-15T03:30:00Z,DMI
user_resigned@enron.com,peer9@enron.com,2001-02-14T19:45:00Z,DMI
user_bottleneck@enron.com,peer0@enron.com,2001-03-16T01:00:00Z,DST
user_resigned@enron.com,peer9@enron.com,2001-01-15T17:15:00Z,DMI
user_resigned@enron.com,peer2@enron.com,2001-04-15T05:30:00Z,DMI
user_promoted@enron.com,peer5@enron.com,2001-03-16T14:00:00Z,DISQ
user_fired@enron.com,peer3@enron.com,2001-06-14T01:00:00Z,DSE
peer4@enron.com,user_bottleneck@enron.com,2001-03-16T00:10:00Z,DCAR
peer2@enron.com,user_bottleneck@enron.com,2001-05-15T00:15:00Z,DCAR
user_resigned@enron.com,peer1@enron.com,2001-04-15T02:45:00Z,DMI
peer0@enron.com,user_bottleneck@enron.com,2001-06-14T00:03:00Z,DCAR
user_resigned@enron.com,peer6@enron.com,2001-03-16T11:30:00Z,DMI
user_bottleneck@enron.com,peer0@enron.com,2001-05-15T01:00:00Z,DST
user_fired@enron.com,peer5@enron.com,2001-02-15T09:00:00Z,DSE
user_fired@enron.com,peer2@enron.com,2001-01-16T06:00:00Z,DSE
user_bottleneck@enron.com,peer7@enron.com,2001-04-15T08:00:00Z,DST
user_resigned@enron.com,peer0@enron.com,2001-02-14T07:30:00Z,DMI
peer3@enron.com,user_bottleneck@enron.com,2001-01-15T00:13:00Z,DCAR
peer3@enron.com,user_bottleneck@enron.com,2001-02-14T00:36:00Z,DCAR
user_fired@enron.com,peer2@enron.com,2001-01-15T00:00:00Z,DSE
peer1@enron.com,user_bottleneck@enron.com,2001-04-15T00:28:00Z,DCAR
user_resigned@enron.com,peer2@enron.com,2001-02-14T15:30:00Z,DMI
peer1@enron.com,user_bottleneck@enron.com,2001-01-15T00:25:00Z,DCAR
user_resigned@enron.com,peer0@enron.com,2001-03-16T02:30:00Z,DMI
user_stable@enron.com,peer3@enron.com,2001-06-14T13:00:00Z,DCAR
user_fired@enron.com,peer3@enron.com,2001-05-15T11:00:00Z,DSE
user_stable@enron.com,peer0@enron.com,2001-01-15T10:00:00Z,DCAR
user_fired@enron.com,peer9@enron.com,2001-01-15T07:00:00Z,DSE
user_resigned@enron.com,peer8@enron.com,2001-02-14T22:00:00Z,DMI
user_promoted@enron.com,peer1@enron.com,2001-02-14T10:00:00Z,DISQ
user_fired@enron.com,peer2@enron.com,2001-03-16T20:00:00Z,DSE
peer1@enron.com,user_bottleneck@enron.com,2001-02-14T00:08:00Z,DCAR
user_resigned@enron.com,peer6@enron.com,2001-04-15T16:30:00Z,DMI
user_resigned@enron.com,peer0@enron.com,2001-02-14T22:30:00Z,DMI
user_stable@enron.com,peer1@enron.com,2001-04-15T11:00:00Z,DCAR
user_fired@enron.com,peer7@enron.com,2001-02-15T11:00:00Z,DSE
peer0@enron.com,user_bottleneck@enron.com,2001-03-16T00:12:00Z,DCAR
user_fired@enron.com,peer1@enron.com,2001-04-15T09:00:00Z,DSE
user_fired@enron.com,peer8@enron.com,2001-02-14T06:00:00Z,DSE
user_resigned@enron.com,peer5@enron.com,2001-01-15T23:45:00Z,DMI
peer1@enron.com,user_bottleneck@enron.com,2001-03-16T00:26:00Z,DCAR
user_resigned@enron.com,peer8@enron.com,2001-03-16T14:30:00Z,DMI
user_resigned@enron.com,peer1@enron.com,2001-03-16T10:15:00Z,DMI
user_promoted@enron.com,peer6@enron.com,2001-03-16T05:00:00Z,DISQ
user_fired@enron.com,peer7@enron.com,2001-04-16T01:00:00Z,DSE
user_promoted@enron.com,peer2@enron.com,2001-03-16T11:00:00Z,DISQ
user_fired@enron.com,peer0@enron.com,2001-01-15T18:00:00Z,DSE
peer4@enron.com,user_bottleneck@enron.com,2001-05-15T00:20:00Z,DCAR
user_fired@enron.com,peer2@enron.com,2001-02-15T06:00:00Z,DSE
peer5@enron.com,user_bottleneck@enron.com,2001-05-15T00:23:00Z,DCAR
user_fired@enron.com,peer5@enron.com,2001-02-14T13:00:00Z,DSE
user_resigned@enron.com,peer5@enron.com,2001-05-15T01:15:00Z,DMI
user_resigned@enron.com,peer6@enron.com,2001-05-15T01:30:00Z,DMI
peer4@enron.com,user_bottleneck@enron.com,2001-04-15T00:59:00Z,DCAR
user_fired@enron.com,peer0@enron.com,2001-04-17T00:00:00Z,DSE
user_resigned@enron.com,peer8@enron.com,2001-02-15T00:30:00Z,DMI
user_resigned@enron.com,peer6@enron.com,2001-01-15T14:00:00Z,DMI
user_promoted@enron.com,peer4@enron.com,2001-06-14T03:00:00Z,DMCT
user_promoted@enron.com,peer6@enron.com,2001-05-15T05:00:00Z,DMCT
user_fired@enron.com,peer6@enron.com,2001-03-17T00:00:00Z,DSE
user_fired@enron.com,peer9@enron.com,2001-04-15T17:00:00Z,DSE
user_fired@enron.com,peer8@enron.com,2001-01-15T16:00:00Z,DSE
user_stable@enron.com,peer8@enron.com,2001-05-15T08:00:00Z,DCAR
user_stable@enron.com,peer6@enron.com,2001-04-15T16:00:00Z,DCAR
peer7@enron.com,user_bottleneck@enron.com,2001-06-14T00:09:00Z,DCAR
peer0@enron.com,user_bottleneck@enron.com,2001-05-15T00:59:00Z,DCAR
user_resigned@enron.com,peer2@enron.com,2001-04-15T15:30:00Z,DMI
user_fired@enron.com,peer8@enron.com,2001-02-15T22:00:00Z,DSE
peer9@enron.com,user_bottleneck@enron.com,2001-06-14T00:48:00Z,DCAR
user_stable@enron.com,peer0@enron.com,2001-03-16T10:00:00Z,DCAR
user_resigned@enron.com,peer9@enron.com,2001-02-14T09:45:00Z,DMI
peer7@enron.com,user_bottleneck@enron.com,2001-06-14T00:49:00Z,DCAR
user_resigned@enron.com,peer6@enron.com,2001-02-14T04:00:00Z,DMI
user_resigned@enron.com,peer4@enron.com,2001-06-14T01:00:00Z,DMI
user_stable@enron.com,peer2@enron.com,2001-03-16T02:00:00Z,DCAR
user_fired@enron.com,peer4@enron.com,2001-05-15T22:00:00Z,DSE
peer3@enron.com,user_bottleneck@enron.com,2001-04-15T00:53:00Z,DCAR
user_fired@enron.com,peer7@enron.com,2001-03-16T05:00:00Z,DSE
user_fired@enron.com,peer9@enron.com,2001-04-16T23:00:00Z,DSE
user_resigned@enron.com,peer4@enron.com,2001-01-15T21:00:00Z,DMI
user_fired@enron.com,peer0@enron.com,2001-01-16T14:00:00Z,DSE
user_promoted@enron.com,peer6@enron.com,2001-02-14T15:00:00Z,DISQ
peer1@enron.com,user_bottleneck@enron.com,2001-06-14T00:18:00Z,DCAR
user_fired@enron.com,peer8@enron.com,2001-05-16T02:00:00Z,DSE
user_resigned@enron.com,peer2@enron.com,2001-02-14T00:30:00Z,DMI
user_resigned@enron.com,peer3@enron.com,2001-02-14T18:15:00Z,DMI
user_resigned@enron.com,peer8@enron.com,2001-02-14T19:30:00Z,DMI
user_resigned@enron.com,peer8@enron.com,2001-02-14T14:30:00Z,DMI
peer8@enron.com,user_bottleneck@enron.com,2001-02-14T00:48:00Z,DCAR
peer3@enron.com,user_bottleneck@enron.com,2001-06-14T00:49:00Z,DCAR
user_resigned@enron.com,peer8@enron.com,2001-01-15T12:00:00Z,DMI
user_stable@enron.com,peer6@enron.com,2001-05-15T06:00:00Z,DCAR
